Epoch,Train Loss,Recall@5,MRR5,Best Epoch for Recall@5,Best Epoch for MRR5,Train Loss,Recall@10,MRR10,Best Epoch for Recall@10,Best Epoch for MRR10,Train Loss,Recall@20,MRR20,Best Epoch for Recall@20,Best Epoch for MRR20
0,"tensor(61.6417, grad_fn=<AddBackward0>)",53.0,18.656666666666666,0,0,"tensor(61.6417, grad_fn=<AddBackward0>)",71.6,21.250873015873015,0,0,"tensor(61.6417, grad_fn=<AddBackward0>)",78.0,21.72404942666553,0,0
1,"tensor(61.0090, grad_fn=<AddBackward0>)",53.6,18.736666666666668,1,1,"tensor(61.0090, grad_fn=<AddBackward0>)",71.8,21.264761904761905,1,1,"tensor(61.0090, grad_fn=<AddBackward0>)",78.60000000000001,21.768081607934548,1,1
